feature,importance
body_score,0.12840928701303855
body_score_log,0.12696223891480354
volatile acidity,0.056808369911460564
volatile acidity_log,0.05359574204220042
total sulfur dioxide,0.049530328459730155
pH,0.04859505023799935
citric acid,0.040750390561915706
free_to_total_so2_ratio_log,0.04064724571880816
free_to_total_so2_ratio,0.03780105579620816
acidity_to_sugar,0.03739003307608839
density,0.032824559492312604
sulphates,0.03148819206432551
sulphates_log,0.03119950937582963
free sulfur dioxide_log,0.026051641846496377
chlorides_log,0.023874073913312616
